125 272
0 4 1 2 3 4
1 4 0 14 15 16
2 4 0 11 12 13
3 4 0 8 9 10
4 4 0 5 6 7
5 3 4 39 40
6 3 4 37 38
7 3 4 35 36
8 3 3 33 34
9 3 3 31 32
10 3 3 29 30
11 3 2 27 28
12 3 2 25 26
13 3 2 23 24
14 3 1 21 22
15 3 1 19 20
16 3 1 17 18
17 3 16 67 76
18 3 16 58 75
19 3 15 70 74
20 3 15 47 73
21 3 14 61 72
22 3 14 51 71
23 3 13 69 70
24 3 13 55 68
25 3 12 66 67
26 3 12 43 65
27 3 11 59 64
28 3 11 49 63
29 3 10 61 62
30 3 10 59 60
31 3 9 57 58
32 3 9 41 56
33 3 8 54 55
34 3 8 45 53
35 3 7 51 52
36 3 7 49 50
37 3 6 47 48
38 3 6 45 46
39 3 5 43 44
40 3 5 41 42
41 2 32 40
42 2 40 100
43 2 26 39
44 2 39 99
45 2 34 38
46 2 38 98
47 2 20 37
48 2 37 97
49 2 28 36
50 2 36 96
51 2 22 35
52 2 35 95
53 2 34 94
54 2 33 93
55 2 24 33
56 2 32 92
57 2 31 91
58 2 18 31
59 2 27 30
60 2 30 90
61 2 21 29
62 2 29 89
63 2 28 88
64 2 27 87
65 2 26 86
66 2 25 85
67 2 17 25
68 2 24 84
69 2 23 83
70 2 19 23
71 2 22 82
72 2 21 81
73 2 20 80
74 2 19 79
75 2 18 78
76 2 17 77
77 2 76 124
78 2 75 123
79 2 74 122
80 2 73 121
81 2 72 120
82 2 71 119
83 2 69 118
84 2 68 117
85 2 66 116
86 2 65 115
87 2 64 114
88 2 63 113
89 2 62 112
90 2 60 111
91 2 57 110
92 2 56 109
93 2 54 108
94 2 53 107
95 2 52 106
96 2 50 105
97 2 48 104
98 2 46 103
99 2 44 102
100 2 42 101
101 1 100
102 1 99
103 1 98
104 1 97
105 1 96
106 1 95
107 1 94
108 1 93
109 1 92
110 1 91
111 1 90
112 1 89
113 1 88
114 1 87
115 1 86
116 1 85
117 1 84
118 1 83
119 1 82
120 1 81
121 1 80
122 1 79
123 1 78
124 1 77
